Is left blocked?,Is front blocked?,Is right blocked?,Orthogonal angle to food,Suggested direction,Decision
0,0,0,3.9795735,-1,0.99
0,0,0,2.3918936,1,0.99
0,0,0,3.981482,0,0.99
0,0,0,4.0009294,1,0.0
0,0,0,4.01765,0,0.0
0,0,0,4.033726,-1,0.99
0,0,0,4.0535827,0,0.99
0,0,0,4.074069,0,0.99
0,0,0,4.0951977,0,0.99
0,0,0,4.116979,0,0.99
0,0,0,4.1394224,-1,0.99
0,0,0,2.55359,0,0.99
0,0,0,2.5378432,1,0.99
0,0,0,4.132386,1,0.0
0,0,0,4.1478195,-1,0.99
0,0,0,4.1719694,1,0.0
0,0,0,4.186322,1,0.0
0,0,0,2.5917392,1,0.99
0,0,0,2.577023,1,0.99
0,0,0,4.1719694,-1,0.99
0,0,0,2.5860987,1,0.99
0,0,0,4.182173,0,0.99
0,0,0,4.208223,1,0.0
0,0,0,4.2224317,-1,0.99
0,0,0,4.248741,-1,0.99
0,0,0,2.6642473,0,0.99
0,0,0,2.6497834,-1,0.0
0,0,0,2.6224463,-1,0.0
0,0,0,4.208223,1,0.0
0,0,0,2.6113768,0,0.0
0,0,0,2.5860987,-1,0.0
0,0,0,4.1719694,-1,0.99
0,0,0,4.19684,0,0.99
0,0,0,4.2224317,0,0.99
0,0,0,4.248741,1,0.0
0,0,0,4.2617273,-1,0.99
0,0,0,4.2881947,1,0.0
0,0,0,4.2999783,1,0.0
0,0,0,2.703256,1,0.99
0,0,0,2.690931,-1,0.0
0,0,0,2.6651251,0,0.0
0,0,0,2.6399884,-1,0.0
0,0,0,4.224055,1,0.0
0,0,0,2.6292028,1,0.99
0,0,0,2.615526,1,0.99
0,0,0,4.210785,0,0.99
0,0,0,4.2359214,-1,0.99
0,0,0,2.6516352,0,0.99
0,0,0,2.6374266,0,0.99
0,0,0,2.6224463,1,0.99
0,0,0,4.2205796,1,0.0
0,0,0,4.2350435,1,0.0
0,0,0,2.6374266,-1,0.0
0,0,0,4.2224317,1,0.0
0,0,0,2.6260433,1,0.99
0,0,0,2.6113768,1,0.99
0,0,0,4.208223,0,0.99
0,0,0,4.2350435,-1,0.99
0,0,0,2.6497834,-1,0.0
0,0,0,2.6224463,0,0.0
0,0,0,2.5959375,-1,0.0
0,0,0,4.182173,1,0.0
0,0,0,2.5860987,1,0.99
0,0,0,2.570255,1,0.99
0,0,0,4.1667337,1,0.0
0,0,0,4.182173,-1,0.99
0,0,0,4.208223,1,0.0
0,0,0,4.2224317,1,0.0
0,0,0,2.6260433,0,0.0
0,0,0,2.601173,-1,0.0
0,0,0,4.186322,1,0.0
0,0,0,2.5917392,1,0.99
0,0,0,2.577023,0,0.99
0,0,0,2.56159,0,0.99
0,0,0,2.5453935,0,0.99
0,0,0,2.5283852,-1,0.0
0,0,0,2.5040438,0,0.0
0,0,0,2.4805493,1,0.99
0,0,0,2.462179,0,0.99
0,0,0,2.4429328,1,0.99
0,0,0,4.0376477,0,0.99
0,0,0,4.062518,1,0.0
0,0,0,4.0813093,1,0.0
0,0,0,2.485897,-1,0.0
0,0,0,4.07484,1,0.0
0,0,0,2.4805493,0,0.0
0,0,0,2.4578831,1,0.99
0,0,0,2.4393356,-1,0.0
0,0,0,2.4173424,0,0.0
0,0,0,2.396173,-1,0.0
0,0,0,3.9857461,0,0.0
0,0,0,4.0037622,0,0.0
0,0,0,4.021052,0,0.0
0,0,0,4.0376477,1,0.0
0,0,0,2.4468544,1,0.99
0,0,0,2.4301333,-1,0.0
0,0,0,2.410686,0,0.0
0,0,0,2.3918936,1,0.99
0,0,0,2.3743742,-1,0.0
0,0,0,2.3561945,-1,0.0
0,0,0,3.9445326,-1,0.99
0,0,0,3.9626899,-1,0.99
0,0,0,2.3743742,1,0.99
